From	Entry	Protein names	Gene Names	Organism	Length
A0A1L1STE6	A0A1L1STE6	"Isocitrate dehydrogenase [NAD] subunit, mitochondrial"	Idh3a	Mus musculus (Mouse)	384
Q63918	Q63918	Caveolae-associated protein 2 (Cavin-2) (Phosphatidylserine-binding protein) (Serum deprivation-response protein)	Cavin2 Sdpr Sdr	Mus musculus (Mouse)	418
P52432	P52432	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPC40)	Polr1c Rpo1-1	Mus musculus (Mouse)	346
Q9DCE5	Q9DCE5	p21-activated protein kinase-interacting protein 1 (PAK1-interacting protein 1) (Putative PAK inhibitor Skb15)	Pak1ip1	Mus musculus (Mouse)	382
O35493	O35493	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	Clk4	Mus musculus (Mouse)	481
Q9ER63	Q9ER63	Tumor necrosis factor receptor superfamily member 23 (Decoy TRAIL receptor 1) (TNF receptor family member SOB) (TNF receptor homolog 1) (Tumor necrosis factor receptor p60 homolog 1)	Tnfrsf23 Dctrailr1 Tnfrh1 Tnfrsf1al1	Mus musculus (Mouse)	176
Q99LJ8	Q99LJ8	Dehydrodolichyl diphosphate synthase complex subunit Nus1 (EC 2.5.1.87) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)	Nus1 D10Ertd438e Ngbr	Mus musculus (Mouse)	297
Q8BH59	Q8BH59	"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Solute carrier family 25 member 12)"	Slc25a12	Mus musculus (Mouse)	677
Q9CQ92	Q9CQ92	Mitochondrial fission 1 protein (FIS1 homolog) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	Fis1 Ttc11	Mus musculus (Mouse)	152
O54785	O54785	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	Limk2	Mus musculus (Mouse)	638
Q61249	Q61249	Immunoglobulin-binding protein 1 (Alpha4 phosphoprotein) (CD79a-binding protein 1) (Lymphocyte signal transduction molecule alpha 4) (Protein phosphatase 2/4/6 regulatory subunit) (p52)	Igbp1 Pc52	Mus musculus (Mouse)	340
Q69ZS7	Q69ZS7	HBS1-like protein	Hbs1l Hbs1 Kiaa1038	Mus musculus (Mouse)	682
Q9ER41	Q9ER41	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)	Tor1b	Mus musculus (Mouse)	336
Q91ZR1	Q91ZR1	Ras-related protein Rab-4B (EC 3.6.5.2)	Rab4b Rab4	Mus musculus (Mouse)	213
A0A1D5RLL4	A0A1D5RLL4	Transformation/transcription domain-associated protein	Trrap	Mus musculus (Mouse)	3859
Q8JZM7	Q8JZM7	Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein homolog)	Cdc73	Mus musculus (Mouse)	531
Q9QXS1-3	Q9QXS1	Plectin (PCN) (PLTN) (Plectin-1) (Plectin-6)	Plec Plec1	Mus musculus (Mouse)	4691
Q9WVE8	Q9WVE8	Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II) (SdpII)	Pacsin2	Mus musculus (Mouse)	486
Q61102	Q61102	"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)"	Abcb7 Abc7	Mus musculus (Mouse)	752
Q9Z0E8	Q9Z0E8	Solute carrier family 22 member 5 (High-affinity sodium-dependent carnitine cotransporter) (Organic cation/carnitine transporter 2)	Slc22a5 Octn2	Mus musculus (Mouse)	557
Q149L6	Q149L6	DnaJ homolog subfamily B member 14	Dnajb14	Mus musculus (Mouse)	379
Q0VGY8	Q0VGY8	"Protein TANC1 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1)"	Tanc1	Mus musculus (Mouse)	1856
D3YXK2	D3YXK2	Scaffold attachment factor B1 (SAF-B1)	Safb Safb1	Mus musculus (Mouse)	937
Q8BYN3	Q8BYN3	"Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134) (Inositol 1,3,4-trisphosphate 5/6-kinase) (Inositol-triphosphate 5/6-kinase) (Ins(1,3,4)P(3) 5/6-kinase) (EC 2.7.1.159)"	Itpk1	Mus musculus (Mouse)	419
D3Z6E3	D3Z6E3	Carbohydrate sulfotransferase (EC 2.8.2.-)	Chst13	Mus musculus (Mouse)	336
Q6WKZ8-2	Q6WKZ8	E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)	Ubr2 Kiaa0349	Mus musculus (Mouse)	1755
Q3UHU5	Q3UHU5	Microtubule cross-linking factor 1 (Coiled-coil domain-containing protein 165) (PAR-1-interacting protein) (SOGA family member 2)	Mtcl1 Ccdc165 Kiaa0802 Soga2	Mus musculus (Mouse)	1945
E9PYP2	E9PYP2	Neurobeachin-like 1	Nbeal1	Mus musculus (Mouse)	2688
Q60737	Q60737	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	Csnk2a1 Ckiia	Mus musculus (Mouse)	391
Q6P5B5	Q6P5B5	"Fragile X mental retardation syndrome-related protein 2 (Fragile X mental retardation, autosomal homolog 2)"	Fxr2 Fxr2h	Mus musculus (Mouse)	674
Q7TQH7	Q7TQH7	Low-density lipoprotein receptor-related protein 10 (LRP-10)	Lrp10 Lrp9	Mus musculus (Mouse)	713
P30275	P30275	"Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)"	Ckmt1	Mus musculus (Mouse)	418
Q62468	Q62468	Villin-1	Vil1 Vil	Mus musculus (Mouse)	827
P52293	P52293	Importin subunit alpha-1 (Importin alpha P1) (Karyopherin subunit alpha-2) (Pendulin) (Pore targeting complex 58 kDa subunit) (PTAC58) (RAG cohort protein 1) (SRP1-alpha)	Kpna2 Rch1	Mus musculus (Mouse)	529
Q3UFM5	Q3UFM5	Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog)	Nom1 Gm1040	Mus musculus (Mouse)	854
Q3TIU4	Q3TIU4	"2',5'-phosphodiesterase 12 (2'-PDE) (2-PDE) (EC 3.1.4.-) (Mitochondrial deadenylase) (EC 3.1.13.4)"	Pde12	Mus musculus (Mouse)	608
Q8K2P7	Q8K2P7	Sodium-coupled neutral amino acid transporter 1 (Amino acid transporter A1) (MNat2) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1)	Slc38a1 Nat2 Snat1	Mus musculus (Mouse)	485
A2RSX9	G5E8V9	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	Arfip1	Mus musculus (Mouse)	373
Q3UMR0	Q3UMR0	Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein) (VPS9-ankyrin-repeat protein)	Ankrd27 Varp	Mus musculus (Mouse)	1048
Q9Z0J7	Q9Z0J7	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1)	Gdf15 Mic1 Sbf	Mus musculus (Mouse)	303
Q99J56	Q99J56	Derlin-1 (Degradation in endoplasmic reticulum protein 1) (Der1-like protein 1)	Derl1 Der1	Mus musculus (Mouse)	251
Q9Z160	Q9Z160	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1) (Low density lipoprotein receptor defect B-complementing protein)	Cog1 Ldlb	Mus musculus (Mouse)	980
Q99JX7	Q99JX7	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	Nxf1 Tap	Mus musculus (Mouse)	618
P48760-3	P48760	"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)"	Fpgs	Mus musculus (Mouse)	587
O35874	O35874	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (Solute carrier family 1 member 4)	Slc1a4 Asct1 Satt	Mus musculus (Mouse)	532
Q99N93	Q99N93	"39S ribosomal protein L16, mitochondrial (L16mt) (MRP-L16)"	Mrpl16	Mus musculus (Mouse)	251
Q5IRJ6-2	Q5IRJ6	Zinc transporter 9 (ZnT-9) (GRIP1-associated coactivator 63) (GAC63) (Solute carrier family 30 member 9)	Slc30a9	Mus musculus (Mouse)	567
P62918	P62918	60S ribosomal protein L8	Rpl8	Mus musculus (Mouse)	257
Q9CW46	Q9CW46	Ribonucleoprotein PTB-binding 1 (Protein raver-1)	Raver1 Kiaa1978	Mus musculus (Mouse)	748
P35979	P35979	60S ribosomal protein L12	Rpl12	Mus musculus (Mouse)	165
Q8CBB7	Q8CBB7	AP-1 complex subunit gamma	Ap1g1	Mus musculus (Mouse)	825
P56960	P56960	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2 homolog) (Polymyositis/scleroderma autoantigen 2 homolog)	Exosc10 Pmscl2	Mus musculus (Mouse)	887
Q61521	Q61521	Proepiregulin [Cleaved into: Epiregulin (EPR)]	Ereg	Mus musculus (Mouse)	162
Q9WTX6	Q9WTX6	Cullin-1 (CUL-1)	Cul1	Mus musculus (Mouse)	776
Q3TX08	Q3TX08	"tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)"	Trmt1 D8Ertd812e	Mus musculus (Mouse)	663
Q6GQT9	Q6GQT9	Nodal modulator 1	Nomo1	Mus musculus (Mouse)	1214
Q9EQH2	Q9EQH2	Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (VEGF-induced aminopeptidase)	Erap1 Appils Arts1	Mus musculus (Mouse)	930
Q571K4	Q571K4	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	Tab3 Kiaa4135 Map3k7ip3	Mus musculus (Mouse)	716
Q80TM9	Q80TM9	Nischarin (Imidazoline receptor 1) (I-1) (IR1) (Imidazoline receptor I-1-like protein) (Imidazoline-1 receptor) (I1R)	Nisch Kiaa0975	Mus musculus (Mouse)	1593
Q6PFA2	Q6PFA2	Clathrin light chain	Clta	Mus musculus (Mouse)	218
Q9CZX9	Q9CZX9	ER membrane protein complex subunit 4 (Transmembrane protein 85)	Emc4 Tmem85	Mus musculus (Mouse)	183
L7N277	L7N277	PRAME-like 45	Pramel45	Mus musculus (Mouse)	499
Q9CZ13	Q9CZ13	"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)"	Uqcrc1	Mus musculus (Mouse)	480
Q6A098	Q6A098	Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like)	Secisbp2l Kiaa0256	Mus musculus (Mouse)	1086
O35704	O35704	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	Sptlc1 Lcb1	Mus musculus (Mouse)	473
Q91VN6	Q91VN6	Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41)	Ddx41	Mus musculus (Mouse)	622
P70290	P70290	"55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)"	Mpp1	Mus musculus (Mouse)	466
Q8K4L0	Q8K4L0	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (DEAD box protein 54)	Ddx54	Mus musculus (Mouse)	874
Q9JII5	Q9JII5	DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)	Dazap1	Mus musculus (Mouse)	406
Q9CR26	Q9CR26	Vacuolar protein sorting-associated protein VTA1 homolog (SKD1-binding protein 1) (SBP1)	Vta1	Mus musculus (Mouse)	309
Q8BHB4	Q8BHB4	WD repeat-containing protein 3	Wdr3	Mus musculus (Mouse)	942
Q9WU40-2	Q9WU40	Inner nuclear membrane protein Man1 (LEM domain-containing protein 3)	Lemd3 Man1	Mus musculus (Mouse)	921
Q9R1P3	Q9R1P3	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	Psmb2	Mus musculus (Mouse)	201
Q9D172	Q9D172	"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial"	Gatd3 D10Jhu81e Gatd3a	Mus musculus (Mouse)	266
Q8CHW4	Q8CHW4	Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)	Eif2b5	Mus musculus (Mouse)	717
O09044	O09044	Synaptosomal-associated protein 23 (SNAP-23) (Syndet) (Vesicle-membrane fusion protein SNAP-23)	Snap23 Sndt	Mus musculus (Mouse)	210
P56399	P56399	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	Usp5 Isot	Mus musculus (Mouse)	858
Q91W97	Q91W97	Hexokinase HKDC1 (EC 2.7.1.1) (Hexokinase domain-containing protein 1)	Hkdc1	Mus musculus (Mouse)	915
Q07076	Q07076	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	Anxa7 Anx7	Mus musculus (Mouse)	463
Q6ZPR6	Q6ZPR6	Inhibitor of Bruton tyrosine kinase (IBtk)	Ibtk Kiaa1417	Mus musculus (Mouse)	1352
Q8CGU1	Q8CGU1	Calcium-binding and coiled-coil domain-containing protein 1 (Coiled-coil coactivator protein)	Calcoco1 CocoA Kiaa1536	Mus musculus (Mouse)	691
Q922J3	Q922J3	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin)	Clip1 Kiaa4046 Rsn	Mus musculus (Mouse)	1391
Q9Z2N8	Q9Z2N8	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (BRG1-associated factor 53A) (BAF53A)	Actl6a Actl6 Baf53a	Mus musculus (Mouse)	429
P62715	P62715	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (PP2A-beta) (EC 3.1.3.16)	Ppp2cb	Mus musculus (Mouse)	309
Q5RKZ7	Q5RKZ7	"Molybdenum cofactor biosynthesis protein 1 [Includes: GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A); Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)]"	Mocs1	Mus musculus (Mouse)	636
P70168	P70168	Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG)	Kpnb1 Impnb	Mus musculus (Mouse)	876
Q8BXZ1	Q8BXZ1	Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3)	Tmx3 Kiaa1830 Txndc10	Mus musculus (Mouse)	456
O54833	O54833	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	Csnk2a2	Mus musculus (Mouse)	350
Q5F2E7	Q5F2E7	FMR1-interacting protein NUFIP2 (82 kDa FMRP-interacting protein) (82-FIP) (FMRP-interacting protein 2)	Nufip2 Kiaa1321	Mus musculus (Mouse)	692
F8VPU2	F8VPU2	"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)"	Farp1	Mus musculus (Mouse)	1048
P63330	P63330	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16)	Ppp2ca	Mus musculus (Mouse)	309
Q9QXX4	Q9QXX4	"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Citrin) (Solute carrier family 25 member 13)"	Slc25a13	Mus musculus (Mouse)	676
B1AVH5	B1AVH5	Coronin	Coro2a	Mus musculus (Mouse)	543
Q8C0N2	Q8C0N2	Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Acyl-CoA:glycerol-3-phosphate acyltransferase 3) (mGPAT3) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta)	Gpat3 Agpat9	Mus musculus (Mouse)	438
Q80Y14	Q80Y14	"Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)"	Glrx5	Mus musculus (Mouse)	152
Q9Z2X8	Q9Z2X8	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2)	Keap1 Inrf2 Kiaa0132	Mus musculus (Mouse)	624
Q8JZZ6	Q8JZZ6	AMMECR1-like protein	Ammecr1l	Mus musculus (Mouse)	310
Q9QUR8	Q9QUR8	Semaphorin-7A (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	Sema7a Cd108 Semal Semk1	Mus musculus (Mouse)	664
Q99M28	Q99M28	RNA-binding protein with serine-rich domain 1	Rnps1	Mus musculus (Mouse)	305
Q8R2M2	Q8R2M2	Deoxynucleotidyltransferase terminal-interacting protein 2	Dnttip2	Mus musculus (Mouse)	758
Q8VC28	Q8VC28	Aldo-keto reductase family 1 member C13 (EC 1.1.1.-)	Akr1c13	Mus musculus (Mouse)	323
Q4VC33-2	Q4VC33	E3 ubiquitin-protein transferase MAEA (EC 2.3.2.27) (Erythroblast macrophage protein) (Macrophage erythroblast attacher)	Maea Emp	Mus musculus (Mouse)	396
Q8JZN5	Q8JZN5	"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)"	Acad9	Mus musculus (Mouse)	625
Q91YR7	Q91YR7	Pre-mRNA-processing factor 6 (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)	Prpf6	Mus musculus (Mouse)	941
P17156	P17156	Heat shock-related 70 kDa protein 2 (Heat shock protein 70.2)	Hspa2 Hcp70.2 Hsp70-2	Mus musculus (Mouse)	633
Q8BFV2	Q8BFV2	PCI domain-containing protein 2 (CSN12-like protein)	Pcid2	Mus musculus (Mouse)	399
Q9QY06-2	Q9QY06	Unconventional myosin-IXb (Unconventional myosin-9b)	Myo9b Myr5	Mus musculus (Mouse)	2114
Q9D1M0	Q9D1M0	Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)	Sec13 Sec13l1	Mus musculus (Mouse)	322
Q8BR65	Q8BR65	Sin3 histone deacetylase corepressor complex component SDS3 (Suppressor of defective silencing 3 protein homolog)	Suds3 Sds3	Mus musculus (Mouse)	328
Q5SWD9	Q5SWD9	Pre-rRNA-processing protein TSR1 homolog	Tsr1 Kiaa1401	Mus musculus (Mouse)	803
Q80XI4	Q80XI4	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)	Pip4k2b Pip5k2b	Mus musculus (Mouse)	416
O54950	O54950	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)	Prkag1 Prkaac	Mus musculus (Mouse)	330
P97287	P97287	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog (Bcl-2-related protein EAT/mcl1)	Mcl1	Mus musculus (Mouse)	331
Q9ER72	Q9ER72	"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)"	Cars1 Cars	Mus musculus (Mouse)	831
Q99J23	Q99J23	GH3 domain-containing protein	Ghdc D11lgp1e Lgp1	Mus musculus (Mouse)	532
Q9DBD5	Q9DBD5	"Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor)"	Pelp1 Mnar	Mus musculus (Mouse)	1123
Q8R1X6	Q8R1X6	Spartin	Spart Kiaa0610 Spg20	Mus musculus (Mouse)	671
O88544	O88544	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	Cops4 Csn4	Mus musculus (Mouse)	406
P63154	P63154	Crooked neck-like protein 1 (Crooked neck homolog)	Crnkl1	Mus musculus (Mouse)	690
E9Q6A9	E9Q6A9	Catenin beta-1	Ctnnb1	Mus musculus (Mouse)	607
P62852	P62852	40S ribosomal protein S25	Rps25	Mus musculus (Mouse)	125
Q0KL02-4	Q0KL02	Triple functional domain protein (EC 2.7.11.1)	Trio	Mus musculus (Mouse)	3102
Q6NS46	Q6NS46	Protein RRP5 homolog (Apoptosis-linked gene 4 protein) (Programmed cell death protein 11)	Pdcd11 Alg4 Kiaa0185	Mus musculus (Mouse)	1862
Q8BH64	Q8BH64	EH domain-containing protein 2	Ehd2	Mus musculus (Mouse)	543
Q9DBC7	Q9DBC7	"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]"	Prkar1a	Mus musculus (Mouse)	381
Q9WUR2	Q9WUR2	"Enoyl-CoA delta isomerase 2 (EC 5.3.3.8) (Delta(3),delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase) (Peroxisomal 3,2-trans-enoyl-CoA isomerase) (pECI)"	Eci2 Peci	Mus musculus (Mouse)	391
E9QN31	E9QN31	Probable 28S rRNA (cytosine-C(5))-methyltransferase	Nop2	Mus musculus (Mouse)	794
P61027	P61027	Ras-related protein Rab-10 (EC 3.6.5.2)	Rab10	Mus musculus (Mouse)	200
B2RPY5-2	B2RPY5	G-protein coupled receptor 161	Gpr161 Gm208	Mus musculus (Mouse)	545
B2RUR8	B2RUR8	OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne)	Otud7b	Mus musculus (Mouse)	840
A0A0R4J1C3	A0A0R4J1C3	RIKEN cDNA 4933427D14 gene	4933427D14Rik	Mus musculus (Mouse)	959
O35099	O35099	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	Map3k5 Ask1 Mekk5	Mus musculus (Mouse)	1380
F8VQB6	F8VQB6	Unconventional myosin-X (Unconventional myosin-10)	Myo10	Mus musculus (Mouse)	2062
P58137	P58137	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1)	Acot8 Pte1	Mus musculus (Mouse)	320
A2AIV2	A2AIV2	Protein virilizer homolog	Virma Kiaa1429	Mus musculus (Mouse)	1811
Q8CGK3	Q8CGK3	"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)"	Lonp1 Prss15	Mus musculus (Mouse)	949
Q6P1F6	Q6P1F6	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	Ppp2r2a	Mus musculus (Mouse)	447
P45952	P45952	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)"	Acadm	Mus musculus (Mouse)	421
O88597	O88597	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	Becn1	Mus musculus (Mouse)	448
P60710	P60710	"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]"	Actb	Mus musculus (Mouse)	375
Q91Z50	Q91Z50	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	Fen1 FEN1	Mus musculus (Mouse)	380
Q62048	Q62048	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes)	Pea15 Pea15a	Mus musculus (Mouse)	130
Q99KB8	Q99KB8	"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)"	Hagh Glo2	Mus musculus (Mouse)	309
Q99P88	Q99P88	Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)	Nup155	Mus musculus (Mouse)	1391
Q8BN21	Q8BN21	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	Vrk2	Mus musculus (Mouse)	503
P97393	P97393	Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)	Arhgap5 Rhogap5	Mus musculus (Mouse)	1501
Q8BFY9	Q8BFY9	Transportin-1 (Importin beta-2) (Karyopherin beta-2)	Tnpo1 Kpnb2	Mus musculus (Mouse)	898
Q5S003	Q5S003	Sperm-associated antigen 17 (Projection protein PF6 homolog)	Spag17	Mus musculus (Mouse)	2320
Q7M6Y5	Q7M6Y5	Deuterosome assembly protein 1 (Coiled-coil domain-containing protein 67)	Deup1 Ccdc67	Mus musculus (Mouse)	601
Q9JLJ2	Q9JLJ2	4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABADH) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3)	Aldh9a1	Mus musculus (Mouse)	494
P62137	P62137	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Ppp1ca Ppp1a	Mus musculus (Mouse)	330
P09103	P09103	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Endoplasmic reticulum resident protein 59) (ER protein 59) (ERp59) (Prolyl 4-hydroxylase subunit beta) (p55)	P4hb Pdia1	Mus musculus (Mouse)	509
Q80YS6	Q80YS6	Actin filament-associated protein 1 (110 kDa actin filament-associated protein) (AFAP-110)	Afap1 Kiaa3018	Mus musculus (Mouse)	731
Q91WL0	Q91WL0	Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3)	Eps8l3 Eps8r3	Mus musculus (Mouse)	600
